    2       4.441625346953e-10       7.011494038865e-14       5.999036411145e-13       0.000000000000e+00       3.559458854880e-09       9.791551350876e-10      -6.896736310580e-12 
    3       3.417500248824e-10       8.096973091542e-14       1.132424594889e-12       0.000000000000e+00       2.148200531398e-09       6.366415720672e-10      -4.813577003813e-12 
    4       2.731966552804e-10       5.951895826012e-14       1.230579262735e-12       0.000000000000e+00       1.456258095924e-09       4.491898579441e-10      -2.585460420969e-12 
    5       2.273044460878e-10       3.354332378406e-14       1.082335134520e-12       0.000000000000e+00       1.057187930680e-09       3.332625853038e-10      -8.591606482368e-13 
    6       1.966163518581e-10       1.788674943773e-14       8.352922335496e-13       0.000000000000e+00       8.025141968177e-10       2.561148833966e-10       2.416735967124e-13 
    7       1.761855659310e-10       1.247753737618e-14       5.925650484307e-13       0.000000000000e+00       6.290833987358e-10       2.023839912393e-10       7.771976898135e-13 
    8       1.627141168980e-10       1.124335092659e-14       4.112702909485e-13       0.000000000000e+00       5.053158759546e-10       1.637234132260e-10       8.888548975032e-13 
    9       1.540096056997e-10       9.896954420650e-15       3.069913344186e-13       0.000000000000e+00       4.137790915579e-10       1.351470390674e-10       7.406643270381e-13 
   10       1.486109082994e-10       7.748332201714e-15       2.654770750401e-13       0.000000000000e+00       3.441500830259e-10       1.134949192741e-10       4.808234141895e-13 
   11       1.455440072830e-10       5.741162827734e-15       2.598477636350e-13       0.000000000000e+00       2.896757720693e-10       9.741767639688e-11       2.202721232732e-13 
   12       1.441864752182e-10       4.454815369229e-15       2.641050664613e-13       0.000000000000e+00       2.468416534910e-10       8.384918052043e-11       2.293249181541e-14 
   13       1.441468892725e-10       3.685986538064e-15       2.604083247886e-13       0.000000000000e+00       2.123011583455e-10       7.284978302228e-11      -8.844920492097e-14 
   14       1.450670768907e-10       3.023369322707e-15       2.413257046925e-13       0.000000000000e+00       1.840720929783e-10       6.375013005681e-11      -1.220295319931e-13 
   15       1.467764174195e-10       2.327910064001e-15       2.079879560017e-13       0.000000000000e+00       1.607300226913e-10       5.613168234805e-11      -1.031137092604e-13 
   16       1.491873398587e-10       1.719440297214e-15       1.674009369834e-13       0.000000000000e+00       1.412303376963e-10       4.971077130298e-11      -6.124803040117e-14 
   17       1.520939875035e-10       1.334949897102e-15       1.286916963933e-13       0.000000000000e+00       1.247927177800e-10       4.427810985416e-11      -2.071554055959e-14 
   18       1.553990476873e-10       1.191451891842e-15       9.988093031753e-14       0.000000000000e+00       1.107700608756e-10       3.966677941197e-11       3.877712264246e-15 
   19       1.590736173931e-10       1.237016873074e-15       8.431870292015e-14       0.000000000000e+00       9.886579745422e-11       3.577702143901e-11       1.038540272832e-14 
   20       1.630163372287e-10       1.382889822320e-15       8.265775917337e-14       0.000000000000e+00       8.855608842923e-11       3.241560209297e-11       2.119440628147e-15 
   21       1.672118423080e-10       1.563461479895e-15       9.160563346073e-14       0.000000000000e+00       7.963306893736e-11       2.949960015524e-11      -1.355240323861e-14 
   22       1.716304741890e-10       1.713102434796e-15       1.054106657193e-13       0.000000000000e+00       7.183890188589e-11       2.693165364959e-11      -2.705386270299e-14 
   23       1.762562694632e-10       1.793204882689e-15       1.193350584161e-13       0.000000000000e+00       6.503516548641e-11       2.466839431641e-11      -3.408419115033e-14 
   24       1.810515372049e-10       1.782068983168e-15       1.288506419577e-13       0.000000000000e+00       5.903349039835e-11       2.265484948408e-11      -3.259410975758e-14 
   25       1.860102623791e-10       1.711665867802e-15       1.326586232525e-13       0.000000000000e+00       5.374130959428e-11       2.086347231240e-11      -2.444174550568e-14 
   26       1.911164422900e-10       1.635224618083e-15       1.309456202903e-13       0.000000000000e+00       4.904114261935e-11       1.925816074017e-11      -1.333621398664e-14 
   27       1.963552813010e-10       1.584361818755e-15       1.256583548109e-13       0.000000000000e+00       4.486034019126e-11       1.782201893791e-11      -2.790108805620e-15 
   28       2.017006202695e-10       1.582324935327e-15       1.194037051456e-13       0.000000000000e+00       4.111051687786e-11       1.653354084812e-11       3.918765977104e-15 
   29       2.071479822827e-10       1.630205706869e-15       1.133004830363e-13       0.000000000000e+00       3.776235029454e-11       1.538353273596e-11       6.607271687598e-15 
   30       2.126845944628e-10       1.719506388424e-15       1.081369964554e-13       0.000000000000e+00       3.476947484224e-11       1.435391738536e-11       6.314947634736e-15 
   31       2.182864921278e-10       1.839210041289e-15       1.044687973814e-13       0.000000000000e+00       3.205805958548e-11       1.341679882449e-11       4.410656232602e-15 
   32       2.239550799134e-10       1.982754761912e-15       1.012607881035e-13       0.000000000000e+00       2.960726017821e-11       1.256428320851e-11       2.139629410331e-15 
   33       2.296914642730e-10       2.143282205182e-15       9.669229656234e-14       0.000000000000e+00       2.739359154727e-11       1.178793457415e-11       9.553453379894e-16 
   34       2.354894714579e-10       2.313744253664e-15       8.896651652885e-14       0.000000000000e+00       2.537862966540e-11       1.107429065460e-11       2.162365143280e-15 
   35       2.413490706461e-10       2.494158414944e-15       7.802607303134e-14       0.000000000000e+00       2.354743288701e-11       1.041920830001e-11       5.181708921616e-15 
   36       2.472657933379e-10       2.686849354768e-15       6.444030164446e-14       0.000000000000e+00       2.188064575905e-11       9.817533393602e-12       8.658645947223e-15 
   37       2.532303221005e-10       2.894146524345e-15       4.891827390719e-14       0.000000000000e+00       2.035113118463e-11       9.261424923440e-12       1.122568017335e-14 
   38       2.592426037459e-10       3.116945056630e-15       3.214068053857e-14       0.000000000000e+00       1.895205292672e-11       8.749232094179e-12       1.263605940259e-14 
