    2       2.522323985654e-10       5.818876923751e-15       3.074392295459e-13       0.000000000000e+00       6.651684173938e-09       8.580371535436e-10      -2.138384199386e-12 
    3       2.173967728170e-10       8.809872069922e-15       4.337717670028e-13       0.000000000000e+00       4.140993852583e-09       5.912881703795e-10      -1.793108910827e-12 
    4       1.917755901722e-10       8.900049176417e-15       4.605363123636e-13       0.000000000000e+00       2.904311672320e-09       4.405006377417e-10      -1.309919375015e-12 
    5       1.735162421849e-10       6.969819175683e-15       4.303074839537e-13       0.000000000000e+00       2.181742719019e-09       3.442588870127e-10      -8.485689125112e-13 
    6       1.605023918737e-10       4.506484534124e-15       3.741480895563e-13       0.000000000000e+00       1.712345807541e-09       2.778597592170e-10      -4.630367368193e-13 
    7       1.511920144483e-10       2.585487038282e-15       3.121817279596e-13       0.000000000000e+00       1.386379226724e-09       2.296475751707e-10      -1.741980661462e-13 
    8       1.445406509717e-10       1.528502337408e-15       2.558317506723e-13       0.000000000000e+00       1.149080353660e-09       1.933743328567e-10       1.624734057391e-14 
    9       1.398572629589e-10       1.119194131907e-15       2.109614898001e-13       0.000000000000e+00       9.700410824255e-10       1.653327884461e-10       1.191673351847e-13 
   10       1.365905566030e-10       9.920235415714e-16       1.797536869272e-13       0.000000000000e+00       8.310175973914e-10       1.431225646003e-10       1.529386405417e-13 
   11       1.343200883685e-10       9.019329631519e-16       1.618666968288e-13       0.000000000000e+00       7.127384405546e-10       1.257980330722e-10       1.391900290359e-13 
   12       1.329298967052e-10       7.846054851342e-16       1.551937904384e-13       0.000000000000e+00       6.242445088993e-10       1.108354527151e-10       9.844980891407e-14 
   13       1.321785423731e-10       6.792728948995e-16       1.566818934320e-13       0.000000000000e+00       5.513558716795e-10       9.851584123202e-11       4.874165148766e-14 
   14       1.319115173705e-10       6.314682685668e-16       1.632875393823e-13       0.000000000000e+00       4.905383817055e-10       8.827783760082e-11       3.165407032554e-15 
   15       1.320597478236e-10       6.470931767063e-16       1.724934568000e-13       0.000000000000e+00       4.392171268396e-10       7.955871856692e-11      -3.042443425228e-14 
   16       1.324927091802e-10       7.017506600027e-16       1.825036851379e-13       0.000000000000e+00       3.954765195183e-10       7.191783566572e-11      -4.912992905631e-14 
   17       1.332048687363e-10       7.713331635132e-16       1.922000222816e-13       0.000000000000e+00       3.578687306975e-10       6.528113054409e-11      -5.358804537666e-14 
   18       1.341625949309e-10       8.510941536897e-16       2.010969937398e-13       0.000000000000e+00       3.251641227121e-10       5.953012922427e-11      -4.730094343195e-14 
   19       1.353325798608e-10       9.524347065136e-16       2.092448622715e-13       0.000000000000e+00       2.968542328923e-10       5.455114437638e-11      -3.441867423915e-14 
   20       1.366148149988e-10       1.090556363542e-15       2.168820432792e-13       0.000000000000e+00       2.718799104294e-10       5.011466502435e-11      -2.014451777801e-14 
   21       1.380260879897e-10       1.269414826742e-15       2.243604623407e-13       0.000000000000e+00       2.498613991827e-10       4.616088470653e-11      -7.809063742073e-15 
   22       1.395774088659e-10       1.487644885453e-15       2.320615427939e-13       0.000000000000e+00       2.302800512656e-10       4.262436347149e-11      -9.011058113240e-17 
   23       1.412515335679e-10       1.741385796572e-15       2.400874832036e-13       0.000000000000e+00       2.128751408483e-10       3.947423419246e-11       2.441439939588e-15 
   24       1.429974760239e-10       2.025742088828e-15       2.483776710895e-13       0.000000000000e+00       1.972541087133e-10       3.665171601791e-11       3.106735929328e-16 
   25       1.448214426513e-10       2.341677502175e-15       2.566641082573e-13       0.000000000000e+00       1.832380878729e-10       3.412396726603e-11      -4.972351083714e-15 
   26       1.467268150047e-10       2.691391502963e-15       2.645276145257e-13       0.000000000000e+00       1.705775446434e-10       3.184075777244e-11      -1.131384873747e-14 
   27       1.487056412955e-10       3.073921036357e-15       2.714731280531e-13       0.000000000000e+00       1.591242109352e-10       2.977147342469e-11      -1.713652582114e-14 
   28       1.507356128159e-10       3.487439535607e-15       2.769737681818e-13       0.000000000000e+00       1.486845067682e-10       2.787806208285e-11      -2.104878164149e-14 
   29       1.528240553781e-10       3.932934010206e-15       2.807853392032e-13       0.000000000000e+00       1.392071476002e-10       2.615235248026e-11      -2.270237010911e-14 
   30       1.549733463440e-10       4.412403617794e-15       2.827456438180e-13       0.000000000000e+00       1.305923546916e-10       2.457917817830e-11      -2.213131796318e-14 
   31       1.571730946544e-10       4.928149204359e-15       2.827288773251e-13       0.000000000000e+00       1.226669259573e-10       2.313007630002e-11      -1.957037997011e-14 
   32       1.594260493295e-10       5.482879401480e-15       2.807781107108e-13       0.000000000000e+00       1.153912315015e-10       2.179781518172e-11      -1.576932067553e-14 
   33       1.617287157152e-10       6.079689289836e-15       2.770287467216e-13       0.000000000000e+00       1.087150298941e-10       2.057210895239e-11      -1.182971872685e-14 
   34       1.640689000620e-10       6.721500917103e-15       2.716419715117e-13       0.000000000000e+00       1.025463467758e-10       1.943534842182e-11      -8.887331182164e-15 
   35       1.664463287247e-10       7.409121529573e-15       2.646763763935e-13       0.000000000000e+00       9.685431644136e-11       1.838343888429e-11      -7.215252661118e-15 
   36       1.688571521537e-10       8.142481514783e-15       2.561745472534e-13       0.000000000000e+00       9.159391460459e-11       1.741075176619e-11      -6.811147480328e-15 
   37       1.712926910497e-10       8.921383252062e-15       2.461624388603e-13       0.000000000000e+00       8.669744913533e-11       1.650743213109e-11      -7.579672362931e-15 
   38       1.737574612557e-10       9.746413012440e-15       2.345280572253e-13       0.000000000000e+00       8.215266287091e-11       1.567149405788e-11      -9.161591289510e-15 
